iter	RMSE
0	185.0635713
1	180.0646506
2	175.404796
3	171.0559283
4	166.9833086
5	163.3172526
6	159.9539422
7	156.7514124
8	153.8030454
9	151.1758649
10	148.8168296
11	146.5290766
12	144.3408903
13	142.3857538
14	140.6077652
15	138.921597
16	137.375915
17	136.0421203
18	134.718785
19	133.4271617
20	132.2639083
21	131.1958218
22	130.1811126
23	129.2166771
24	128.3516279
25	127.5721702
26	126.8265113
27	126.1877839
28	125.5569624
29	125.022669
30	124.4018719
31	123.8789315
32	123.3967249
33	122.913916
34	122.5174085
35	122.1880999
36	121.8888361
37	121.5809417
38	121.2691596
39	120.9629005
40	120.6487766
41	120.4003859
42	120.1773289
43	119.9595296
44	119.6493895
45	119.4551344
46	119.2829662
47	119.1040306
48	118.9218503
49	118.7808529
50	118.6607733
51	118.5349945
52	118.3571786
53	118.2607034
54	118.0868713
55	117.9743966
56	117.7994792
57	117.6110902
58	117.5199958
59	117.4220188
60	117.3350803
61	117.2310368
62	117.1307277
63	117.0332426
64	116.9687719
65	116.8848956
66	116.8035348
67	116.7068645
68	116.6417717
69	116.5632198
70	116.4887474
71	116.4309721
72	116.3423394
73	116.2750114
74	116.2337029
75	116.1885353
76	116.0884991
77	116.0558496
78	116.0081586
79	115.9624616
80	115.9205528
81	115.8830866
82	115.8059282
83	115.7526755
84	115.6768058
85	115.6557927
86	115.6052757
87	115.5358556
88	115.5272812
89	115.4853198
90	115.4507241
91	115.398998
92	115.3588674
93	115.2769822
94	115.2248646
95	115.1813383
96	115.1550474
97	115.1170539
98	115.076726
99	115.0424655
100	115.0157294
101	115.0125643
102	114.9804665
103	114.9103659
104	114.8637522
105	114.8253547
106	114.8050726
107	114.776346
108	114.7550302
109	114.7173683
110	114.6793121
111	114.6368124
112	114.6135839
113	114.5714123
114	114.5543283
115	114.5207695
116	114.4832847
117	114.4830815
118	114.4560404
119	114.4297508
120	114.4107834
121	114.376084
122	114.3400331
123	114.2955264
124	114.2725608
125	114.2487841
126	114.2236955
127	114.1979483
128	114.1686785
129	114.1316964
130	114.110063
131	114.0865201
132	114.055086
133	114.0236159
134	113.9879127
135	113.9694565
