iter	Passed	Remaining
0	260	259939
1	364	182000
2	506	168259
3	684	170358
4	754	150220
5	822	136212
6	922	130893
7	1017	126171
8	1097	120836
9	1159	114801
10	1230	110608
11	1297	106807
12	1362	103444
13	1434	101051
14	1507	98990
15	1579	97151
16	1683	97332
17	1884	102828
18	1957	101048
19	2028	99417
20	2112	98477
21	2184	97130
22	2572	109279
23	2711	110251
24	2799	109193
25	2888	108214
26	2961	106728
27	3043	105643
28	3202	107232
29	3505	113341
30	3675	114886
31	3757	113668
32	3853	112925
33	3932	111740
34	4043	111479
35	4125	110482
36	4199	109300
37	4269	108086
38	4340	106953
39	4440	106571
40	4536	106111
41	4624	105473
42	4696	104530
43	4772	103685
44	4914	104295
45	4990	103488
46	5080	103023
47	5154	102240
48	5239	101679
49	5321	101104
50	5404	100556
51	5491	100121
52	5576	99648
53	5661	99175
54	5741	98645
55	5818	98080
56	5913	97839
57	5985	97215
58	6067	96765
59	6157	96473
60	6244	96122
61	6320	95620
62	6406	95278
63	6482	94813
64	6551	94237
65	6625	93754
66	6693	93211
67	6769	92777
68	6841	92315
69	6911	91820
70	6994	91517
71	7072	91154
72	7155	90862
73	7246	90674
74	7339	90522
75	7425	90283
76	7530	90262
77	7610	89962
78	7712	89915
79	7807	89786
80	7892	89548
81	7989	89444
82	8071	89173
83	8160	88992
84	8256	88874
85	8311	88334
86	8403	88190
87	8491	88000
88	8519	87201
89	8586	86819
90	8659	86497
91	8762	86478
92	8855	86360
93	8929	86063
94	9004	85775
95	9087	85576
96	9185	85513
97	9259	85223
98	9354	85131
99	9426	84835
100	9490	84475
101	9516	83779
102	9603	83637
103	9753	84032
104	9856	84012
105	9933	83776
106	10003	83485
107	10071	83186
108	10140	82887
109	10217	82668
110	10302	82515
111	10397	82438
112	10482	82281
113	10552	82014
114	10636	81852
115	10734	81803
116	10813	81610
117	10836	80998
118	10932	80936
119	11024	80844
120	11116	80753
121	11211	80682
122	11576	82539
123	11697	82634
124	11786	82505
125	11886	82452
126	12015	82593
127	12100	82436
128	12189	82300
129	12529	83848
130	12672	84063
131	12761	83915
132	12833	83658
133	12925	83532
134	13005	83332
135	13077	83082
136	13167	82944
137	13256	82806
138	13334	82597
139	13410	82377
140	13494	82210
141	13578	82044
142	13662	81878
143	13737	81660
144	13826	81530
145	13910	81364
146	13980	81123
147	14060	80941
148	14146	80795
149	14234	80663
150	14311	80464
151	14381	80234
152	14454	80021
153	14522	79780
154	14605	79623
155	14685	79451
156	14754	79224
157	14841	79091
158	14918	78906
159	15000	78753
160	15077	78572
161	15157	78408
162	15228	78199
163	15318	78087
164	15417	78022
165	15509	77919
166	15601	77819
167	15688	77696
168	15774	77565
169	15865	77459
170	15940	77276
171	16024	77142
172	16122	77069
173	16210	76953
174	16305	76869
175	16400	76783
176	16429	76392
177	16501	76202
178	16572	76012
179	16664	75915
180	16751	75799
181	16837	75677
182	16918	75534
183	17019	75475
184	17111	75382
185	17197	75261
186	17330	75348
187	17470	75457
188	17632	75662
189	17747	75658
190	17854	75623
191	17965	75604
192	18053	75488
193	18138	75357
194	18234	75275
195	18328	75184
196	18413	75055
197	18496	74918
198	18588	74822
199	18685	74741
200	18773	74627
201	18865	74526
202	18958	74433
203	19060	74372
204	19170	74342
205	19278	74306
206	19382	74253
207	19504	74266
208	19601	74185
209	19695	74092
210	19799	74038
211	19846	73768
212	19946	73697
213	20190	74156
214	20327	74219
215	20485	74355
216	20586	74282
217	20919	75042
218	21166	75483
219	21331	75630
220	21471	75683
221	21588	75658
222	21927	76402
223	22021	76287
224	22119	76190
225	22202	76038
226	22295	75921
227	22369	75741
228	22482	75695
229	22583	75604
230	22675	75486
231	22780	75410
232	22881	75322
233	22980	75226
234	23074	75113
235	23147	74934
236	23228	74783
237	23335	74712
238	23456	74688
239	23560	74609
240	23651	74486
241	23757	74415
242	23840	74267
243	23939	74172
244	24019	74019
245	24089	73836
246	24180	73716
247	24276	73613
248	24333	73391
249	24413	73240
250	24478	73045
251	24549	72867
252	24614	72675
253	24694	72527
254	24761	72343
255	24826	72150
256	24892	71965
257	24964	71798
258	25028	71607
259	25090	71411
260	25161	71241
261	25249	71123
262	25325	70969
263	25407	70832
264	25470	70645
265	25551	70507
266	25627	70354
267	25703	70205
268	25788	70078
269	25846	69880
270	25927	69747
271	25999	69585
272	26060	69400
273	26134	69246
274	26194	69057
275	26279	68936
276	26346	68766
277	26428	68639
278	26493	68466
279	26582	68356
280	26650	68191
281	26722	68036
282	26802	67905
283	26868	67739
284	26970	67661
285	27091	67633
286	27180	67524
287	27283	67451
288	27372	67342
289	27452	67210
290	27516	67040
291	27612	66950
292	27706	66855
293	27787	66728
294	27856	66573
295	27955	66489
296	28059	66418
297	28143	66296
298	28234	66194
299	28319	66078
300	28411	65979
301	28504	65881
302	28604	65800
303	28704	65719
304	28802	65631
305	28885	65512
306	29004	65472
307	29101	65382
308	29195	65288
309	29281	65174
310	29367	65062
311	29442	64925
312	29516	64784
313	29595	64658
314	29699	64584
315	29789	64481
316	29884	64387
317	29974	64285
318	30064	64182
319	30162	64095
320	30550	64623
321	30661	64560
322	30741	64432
323	30864	64396
324	30941	64262
325	31024	64141
326	31110	64029
327	31228	63981
328	31478	64201
329	31584	64126
330	31672	64015
331	31772	63928
332	31873	63842
333	31970	63749
334	32036	63595
335	32120	63477
336	32208	63365
337	32281	63225
338	32373	63124
339	32447	62986
340	32531	62869
341	32602	62725
342	32681	62599
343	32762	62476
344	32853	62374
345	32932	62247
346	33011	62123
347	33093	62003
348	33184	61899
349	33260	61769
350	33347	61659
351	33440	61561
352	33517	61433
353	33582	61283
354	33655	61148
355	33741	61038
356	33817	60908
357	33902	60797
358	34006	60719
359	34086	60598
360	34177	60496
361	34271	60401
362	34368	60310
363	34471	60230
364	34557	60120
365	34638	60001
366	34724	59892
367	34803	59771
368	34890	59662
369	34969	59542
370	35028	59387
371	35100	59255
372	35194	59161
373	35275	59044
374	35370	58951
375	35465	58857
376	35554	58753
377	35645	58655
378	35716	58522
379	35813	58433
380	35883	58298
381	35947	58156
382	36014	58017
383	36090	57895
384	36183	57800
385	36267	57690
386	36353	57582
387	36439	57476
388	36516	57355
389	36589	57229
390	36675	57124
391	36746	56994
392	36812	56857
393	36903	56760
394	36993	56661
395	37077	56552
396	37138	56409
397	37233	56317
398	37316	56209
399	37407	56111
400	37494	56008
401	37571	55890
402	37648	55771
403	37749	55689
404	37834	55583
405	37924	55485
406	38018	55392
407	38101	55284
408	38191	55185
409	38289	55099
410	38378	54999
411	38469	54903
412	38558	54802
413	38643	54698
414	38707	54563
415	38788	54452
416	38863	54334
417	38965	54253
418	39049	54147
419	39132	54040
420	39199	53910
421	39559	54183
422	39645	54078
423	39743	53991
424	39857	53924
425	39946	53824
426	40025	53711
427	40110	53605
428	40199	53505
429	40444	53612
430	40579	53572
431	40663	53464
432	40749	53360
433	40823	53239
434	40907	53132
435	40973	53001
436	41049	52885
437	41122	52764
438	41189	52636
439	41276	52533
440	41345	52408
441	41416	52285
442	41508	52190
443	41596	52088
444	41671	51972
445	41735	51842
446	41825	51743
447	41902	51630
448	41993	51532
449	42064	51411
450	42140	51297
451	42220	51187
452	42307	51086
453	42390	50981
454	42480	50883
455	42554	50767
456	42628	50650
457	42709	50542
458	42779	50422
459	42866	50321
460	42938	50203
461	43005	50080
462	43064	49947
463	43135	49828
464	43219	49725
465	43295	49613
466	43369	49499
467	43431	49371
468	43490	49239
469	43565	49127
470	43661	49038
471	43734	48922
472	43820	48823
473	43892	48707
474	43959	48586
475	44049	48491
476	44129	48385
477	44212	48282
478	44299	48183
479	44380	48078
480	44460	47973
481	44539	47865
482	44604	47744
483	44679	47633
484	44764	47533
485	44843	47426
486	44909	47306
487	44974	47186
488	45045	47071
489	45133	46975
490	45213	46871
491	45287	46759
492	45353	46640
493	45427	46531
494	45497	46416
495	45573	46308
496	45655	46206
497	45713	46080
498	45774	45957
499	45841	45841
500	45914	45731
501	45993	45627
502	46069	45520
503	46145	45413
504	46229	45314
505	46302	45204
506	46374	45094
507	46450	44987
508	46536	44890
509	46612	44785
510	46672	44663
511	46748	44556
512	46808	44436
513	46870	44317
514	46937	44202
515	47022	44106
516	47106	44008
517	47210	43929
518	47332	43867
519	47466	43815
520	47574	43739
521	47700	43680
522	48137	43903
523	48318	43892
524	48548	43924
525	48713	43898
526	48831	43828
527	49189	43972
528	49290	43886
529	49383	43793
530	49465	43689
531	49566	43603
532	49651	43503
533	49732	43399
534	49834	43314
535	49912	43207
536	49994	43105
537	50068	42995
538	50151	42894
539	50255	42810
540	50346	42715
541	50423	42608
542	50517	42516
543	50590	42406
544	50674	42306
545	50749	42198
546	50829	42094
547	50919	41998
548	51001	41897
549	51113	41820
550	51194	41717
551	51286	41624
552	51364	41519
553	51444	41415
554	51546	41329
555	51643	41240
556	51721	41135
557	51818	41045
558	51893	40939
559	51965	40829
560	52046	40727
561	52145	40639
562	52242	40550
563	52329	40453
564	52426	40363
565	52506	40261
566	52584	40157
567	52682	40068
568	52760	39964
569	52868	39883
570	52948	39781
571	53045	39691
572	53131	39593
573	53225	39502
574	53313	39405
575	53401	39309
576	53495	39217
577	53577	39116
578	53648	39008
579	53739	38914
580	53812	38807
581	53907	38716
582	53988	38616
583	54060	38508
584	54173	38430
585	54246	38324
586	54322	38220
587	54399	38116
588	54481	38016
589	54586	37932
590	54672	37836
591	54747	37731
592	54830	37632
593	54936	37549
594	55020	37450
595	55128	37369
596	55225	37279
597	55311	37182
598	55401	37088
599	55483	36989
600	55576	36896
601	55660	36798
602	55744	36700
603	55842	36612
604	55934	36519
605	56027	36427
606	56119	36334
607	56205	36237
608	56277	36132
609	56375	36043
610	56477	35957
611	56581	35872
612	56669	35776
613	56767	35687
614	56850	35589
615	56986	35524
616	57221	35520
617	57298	35417
618	57399	35329
619	57683	35354
620	57929	35354
621	58048	35276
622	58170	35201
623	58266	35109
624	58367	35020
625	58664	35048
626	58752	34951
627	58819	34842
628	58899	34740
629	58993	34646
630	59077	34547
631	59204	34473
632	59342	34405
633	59508	34353
634	59615	34267
635	59827	34240
636	60222	34318
637	60342	34238
638	60483	34169
639	60625	34102
640	60753	34025
641	60915	33968
642	60994	33864
643	61093	33772
644	61225	33697
645	61360	33624
646	61485	33546
647	61631	33478
648	61781	33413
649	61940	33352
650	62128	33306
651	62311	33258
652	62427	33173
653	62544	33089
654	62677	33013
655	62864	32965
656	63018	32900
657	63159	32827
658	63379	32795
659	63513	32718
660	63696	32667
661	64083	32719
662	64258	32662
663	64463	32620
664	64631	32558
665	64954	32574
666	65562	32732
667	65766	32686
668	65982	32645
669	66316	32663
670	66528	32619
671	66753	32582
672	66942	32526
673	67149	32479
674	67385	32444
675	67562	32381
676	67729	32313
677	67920	32257
678	68127	32207
679	68273	32128
680	68487	32081
681	68649	32009
682	68801	31932
683	68954	31856
684	69100	31776
685	69306	31723
686	69585	31703
687	69721	31618
688	69927	31563
689	70073	31482
690	70185	31385
691	70295	31287
692	70451	31210
693	70567	31114
694	70700	31026
695	70868	30954
696	71054	30888
697	71334	30863
698	71640	30849
699	71882	30806
700	72040	30727
701	72235	30664
702	72368	30573
703	72481	30474
704	72580	30370
705	72669	30261
706	72821	30179
707	72986	30101
708	73081	29995
709	73177	29889
710	73289	29790
711	73368	29677
712	73451	29565
713	73567	29468
714	73652	29358
715	73753	29253
716	73877	29159
717	74280	29174
718	74386	29071
719	74482	28965
720	74599	28867
721	74704	28764
722	74814	28663
723	75170	28656
724	75267	28549
725	75351	28438
726	75448	28332
727	75527	28218
728	75603	28105
729	75666	27986
730	75725	27866
